Author,Guide,url,for
Luxion,Technical Data Guide,https://gamefaqs.gamespot.com/ps/250588-front-mission-3/faqs/7363,Boost and Dash upgrade values and mech purchase and upgrade costs
EWillis and JackSpade,Network/Wanzer FAQ,https://gamefaqs.gamespot.com/ps/250588-front-mission-3/faqs/15501,mech technical info other than dash and upgrade values
MarkWeb,Walkthrough,https://gamefaqs.gamespot.com/ps/250588-front-mission-3/faqs/7525,Weapon and item data
Wazat,Detailed Skill List,https://gamefaqs.gamespot.com/ps/250588-front-mission-3/faqs/25245,Battle skill details
